key,edge,lastFoundAt,type,market_name,participants,outcome_payout,source,participant,sport,implied_probability,profit_potential,EV,event_start_time,competition_instance_name
rSSF-ykdu-ooTl,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Villarreal @ Real Madrid,"['Villarreal', 'Real Madrid']",11.0,BET_RIVERS,Villarreal,SOCCER,9.926735,1000.0,9.194085000000001,2024-10-05T19:00:00.000Z,2024-25 Spanish La Liga
M9RF-ykdu-hSkZ,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Villarreal @ Real Madrid,"['Villarreal', 'Real Madrid']",6.75,BET_PARX,,,14.840538,575.0,0.17363150000001326,2024-10-05T19:00:00.000Z,2024-25 Spanish La Liga
g90W-ykdu-4OhQ,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Villarreal @ Real Madrid,"['Villarreal', 'Real Madrid']",6.75,BET_RIVERS,,,14.840538,575.0,0.17363150000001326,2024-10-05T19:00:00.000Z,2024-25 Spanish La Liga
rlUF-ykdu-74yv,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Werder Bremen @ VfL Wolfsburg,"['Werder Bremen', 'VfL Wolfsburg']",3.9,BET_RIVERS,,,25.86624,290.0,0.8783359999999902,2024-10-20T15:30:00.000Z,2024-25 German Bundesliga
G344-ykdu-YiKm,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,RB Leipzig @ Mainz 05,"['RB Leipzig', 'Mainz 05']",4.2,BET_PARX,,,24.079081,320.0,1.132140199999995,2024-10-19T13:30:00.000Z,2024-25 German Bundesliga
f0RW-ykdu-xvo7,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,RB Leipzig @ Mainz 05,"['RB Leipzig', 'Mainz 05']",4.3,BET_RIVERS,,,24.079081,330.0,3.540048299999995,2024-10-19T13:30:00.000Z,2024-25 German Bundesliga
u4bj-ykdu-QAPd,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,FC St. Pauli @ Borussia Dortmund,"['Borussia Dortmund', 'FC St. Pauli']",9.5,BET_PARX,FC St. Pauli,SOCCER,10.944994,850.0,3.977442999999994,2024-10-18T18:30:00.000Z,2024-25 German Bundesliga
bc6x-ykdu-y0Gp,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,FC St. Pauli @ Borussia Dortmund,"['Borussia Dortmund', 'FC St. Pauli']",10.0,BET_RIVERS,FC St. Pauli,SOCCER,10.944994,900.0,9.449939999999984,2024-10-18T18:30:00.000Z,2024-25 German Bundesliga
6T3o-ykdu-sccK,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,VfL Bochum @ Hoffenheim,"['Hoffenheim', 'VfL Bochum']",4.5,BET_PARX,,,22.247903,350.0,0.11556350000002169,2024-10-19T13:30:00.000Z,2024-25 German Bundesliga
00xI-ykdu-IXDW,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Parma @ Bologna,"['Bologna', 'Parma']",4.75,BET_RIVERS,Parma,SOCCER,21.560049,375.0,2.410232750000006,2024-10-06T13:00:00.000Z,2024-25 Italian Serie A
xFPp-ykdu-YMxy,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Cagliari @ Juventus,"['Juventus', 'Cagliari']",9.5,BET_PARX,Cagliari,SOCCER,11.052675,850.0,5.000412499999996,2024-10-06T10:30:00.000Z,2024-25 Italian Serie A
NWYZ-ykdu-dZjH,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Cagliari @ Juventus,"['Juventus', 'Cagliari']",9.5,BET_RIVERS,Cagliari,SOCCER,11.052675,850.0,5.000412499999996,2024-10-06T10:30:00.000Z,2024-25 Italian Serie A
2Jjk-ykdu-lmJ0,PLUS_EV_AVERAGE,2024-10-03T20:35:00.814Z,MONEYLINE_3WAY,Angers @ Olympique Marseille,"['Olympique Marseille', 'Angers']",14.0,BET_PARX,Angers,SOCCER,7.535175,1300.0,5.492450000000005,2024-10-04T18:45:00.000Z,2024-25 French Ligue 1
